,participant.id,tasktype,reaction_time(s),accuracy
195,3250971,CRT,4.62,1
196,3250971,GAMBLER,10.69,0.5
197,3250971,SAMPLE_SIZE,9.95,0
198,3250971,catch,4.23,1
199,3250980,CONJUNCTION,7.53,0
200,3250980,CRT,5.85,0
201,3250980,GAMBLER,9.26,0.5
202,3250980,SAMPLE_SIZE,7.04,1
203,3250980,catch,1.81,1
204,3250982,CONJUNCTION,18.65,0.3333
205,3250982,CRT,13.36,0.3333
206,3250982,GAMBLER,13.78,1
207,3250982,SAMPLE_SIZE,14.83,0
208,3250982,catch,3.2,1
209,3250993,CONJUNCTION,14.79,0.3333
210,3250993,CRT,9.22,0.6667
211,3250993,GAMBLER,12.33,1
212,3250993,SAMPLE_SIZE,7.78,0
213,3250993,catch,1.8,1
214,3251001,CONJUNCTION,13.63,0.3333
215,3251001,CRT,13.78,0.3333
216,3251001,GAMBLER,14.42,1
217,3251001,SAMPLE_SIZE,14.15,0
218,3251001,catch,2.35,1
219,3251011,CONJUNCTION,18.35,1
220,3251011,CRT,10.11,1
221,3251011,GAMBLER,8.06,1
222,3251011,SAMPLE_SIZE,15.17,0
223,3251011,catch,1.15,1
224,3251016,CONJUNCTION,9.97,1
225,3251016,CRT,6.82,0.3333
226,3251016,GAMBLER,4.23,1
227,3251016,SAMPLE_SIZE,7.18,1
228,3251016,catch,1.42,1
229,3251018,CONJUNCTION,9.33,0
230,3251018,CRT,12.09,0.3333
231,3251018,GAMBLER,8.79,1
232,3251018,SAMPLE_SIZE,10.69,0
233,3251018,catch,1.61,1
234,3251024,CONJUNCTION,20.97,0.3333
235,3251024,CRT,12.29,0
236,3251024,GAMBLER,12.47,0
237,3251024,SAMPLE_SIZE,9.55,0
238,3251024,catch,2.92,1
239,3251037,CONJUNCTION,12.82,0
240,3251037,CRT,8.6,0.6667
241,3251037,GAMBLER,8.87,1
242,3251037,SAMPLE_SIZE,12.4,0
243,3251037,catch,2.07,1
244,3251038,CONJUNCTION,19.65,0.6667
245,3251038,CRT,15.56,0.3333
246,3251038,GAMBLER,9.79,1
247,3251038,SAMPLE_SIZE,15.21,1
248,3251038,catch,6.59,1
249,3251046,CONJUNCTION,10.16,0.3333
250,3251046,CRT,15.15,0.6667
251,3251046,GAMBLER,11.96,0
252,3251046,SAMPLE_SIZE,11.05,0
253,3251046,catch,2.51,1
254,3251051,CONJUNCTION,15.03,0.6667
255,3251051,CRT,17.08,0.6667
256,3251051,GAMBLER,8.6,1
257,3251051,SAMPLE_SIZE,12.5,0
